,Date,Temp High ºF,Temp Avg ºF,Temp Low ºF,Dew High ºF,Dew Avg ºF,Dew Low ºF,Humid High %,Humid Avg %,Humid Low %,Speed High mph,Speed Avg mph,Speed Low mph,Pressure High in,Pressure Low in,Precip Sum in,city_code
2,2024-01-01,48.7,39.6,32.4,48.4,39.2,32.0,99,99,99,10.3,1.6,0.0,30.11,29.99,0.00,INAVAC1
3,2024-01-02,44.4,38.7,33.6,44.1,38.3,33.3,99,99,99,9.2,0.7,0.0,30.11,30.02,0.05,INAVAC1
4,2024-01-03,51.8,47.5,42.6,51.4,47.2,42.3,99,99,99,13.6,1.9,0.0,30.07,29.99,0.50,INAVAC1
5,2024-01-04,46.2,41.7,36.9,45.9,41.3,36.5,99,99,99,9.6,1.1,0.0,30.07,29.77,0.14,INAVAC1
6,2024-01-05,41.9,36.4,33.6,41.5,36.0,33.3,99,99,99,25.3,5.2,0.0,29.88,29.68,0.14,INAVAC1
7,2024-01-06,37.0,34.5,32.2,36.7,34.1,31.8,99,99,99,16.8,4.3,0.0,30.06,29.86,0.03,INAVAC1
8,2024-01-07,41.2,35.7,32.4,40.8,35.4,32.0,99,99,99,16.3,3.0,0.0,30.10,30.04,0.19,INAVAC1
9,2024-01-08,44.6,35.6,28.4,44.2,35.3,28.0,99,99,99,12.8,1.7,0.0,30.08,29.97,0.02,INAVAC1
10,2024-01-09,38.1,35.2,32.5,37.8,34.8,32.2,99,99,99,4.7,0.8,0.0,30.02,29.96,0.00,INAVAC1
11,2024-01-10,41.5,37.4,35.2,41.2,37.1,34.9,99,99,99,13.2,1.5,0.0,30.02,29.94,0.39,INAVAC1
12,2024-01-11,41.4,35.3,31.5,41.0,35.0,31.1,99,99,99,13.6,1.9,0.0,30.12,29.97,0.01,INAVAC1
13,2024-01-12,41.2,32.0,24.3,40.8,31.6,23.9,99,99,99,5.8,0.9,0.0,30.21,30.10,0.00,INAVAC1
14,2024-01-13,50.0,41.7,32.7,49.6,41.4,32.4,99,99,99,6.5,0.7,0.0,30.22,30.11,0.00,INAVAC1
15,2024-01-14,52.3,45.4,42.1,52.0,45.1,41.7,99,99,99,19.2,1.5,0.0,30.12,29.99,0.30,INAVAC1
16,2024-01-15,52.3,49.7,46.6,52.0,49.3,46.2,99,99,99,21.3,2.3,0.0,30.00,29.89,0.85,INAVAC1
17,2024-01-16,52.3,48.7,45.3,52.0,48.4,45.0,99,99,99,11.2,1.4,0.0,29.94,29.77,0.25,INAVAC1
18,2024-01-17,47.5,45.1,39.0,47.1,44.8,38.7,99,99,99,13.2,2.3,0.0,29.78,29.58,1.79,INAVAC1
19,2024-01-18,52.5,45.7,39.4,52.2,45.3,39.0,99,99,99,15.7,2.3,0.0,29.84,29.72,0.01,INAVAC1
20,2024-01-19,43.7,39.3,32.9,43.3,39.0,32.5,99,99,99,17.4,1.5,0.0,29.85,29.62,1.53,INAVAC1
21,2024-01-20,48.7,37.6,31.1,48.4,37.2,30.7,99,99,99,8.3,1.1,0.0,30.30,29.84,0.00,INAVAC1
22,2024-01-21,52.3,38.7,30.2,52.0,38.3,29.8,99,99,99,5.6,1.1,0.0,30.44,30.29,0.00,INAVAC1
23,2024-01-22,58.6,48.7,36.5,58.3,48.3,36.1,99,99,99,14.8,2.6,0.0,30.52,30.40,0.00,INAVAC1
24,2024-01-23,61.0,51.4,42.6,60.6,51.1,42.3,99,99,99,15.9,2.1,0.0,30.59,30.49,0.00,INAVAC1
25,2024-01-24,68.5,54.6,45.5,68.2,54.3,45.1,99,99,99,5.4,0.9,0.0,30.60,30.53,0.00,INAVAC1
26,2024-01-25,70.2,55.7,47.1,69.8,55.4,46.8,99,99,99,5.8,1.0,0.0,30.55,30.42,0.00,INAVAC1
27,2024-01-26,67.6,55.7,48.9,67.3,55.4,48.6,99,99,99,5.8,0.9,0.0,30.46,30.39,0.00,INAVAC1
28,2024-01-27,63.3,53.7,47.3,63.0,53.4,46.9,99,99,99,5.4,1.2,0.0,30.40,30.30,0.00,INAVAC1
29,2024-01-28,61.7,50.3,41.4,61.3,49.9,41.0,99,99,99,6.9,1.3,0.0,30.32,30.26,0.00,INAVAC1
30,2024-01-29,56.7,48.1,42.1,56.3,47.8,41.7,99,99,99,5.6,1.0,0.0,30.36,30.27,0.00,INAVAC1
31,2024-01-30,56.5,45.2,36.3,56.1,44.9,36.0,99,99,99,5.6,0.8,0.0,30.41,30.33,0.00,INAVAC1
32,2024-01-31,59.2,46.0,36.5,58.8,45.6,36.1,99,99,99,10.5,1.2,0.0,30.48,30.38,0.00,INAVAC1
